        FAIL [   0.124s] gix-discover::discover is_git::bare_repo_with_index_file_looks_still_looks_like_bare
        FAIL [   0.141s] gix-discover::discover is_git::bare_repo_with_index_file_looks_still_looks_like_bare_if_it_was_renamed
        FAIL [   0.143s] gix-discover::discover is_git::missing_configuration_file_is_not_a_dealbreaker_in_bare_repo
        FAIL [   0.100s] gix-discover::discover is_git::missing_configuration_file_is_not_a_dealbreaker_in_nonbare_repo
        FAIL [   0.145s] gix-discover::discover is_git::no_bare_repo_without_index_file_looks_like_worktree
        FAIL [   0.054s] gix-discover::discover is_git::non_bare_repo_without_workdir
        FAIL [   0.060s] gix-discover::discover is_git::non_bare_repo_without_workdir_with_index
        FAIL [   0.051s] gix-discover::discover is_git::split_worktree_using_configuration
        FAIL [   0.076s] gix-discover::discover upwards::ceiling_dirs::ceiling_dir_is_ignored_if_we_are_standing_on_the_ceiling_and_no_match_is_required
        FAIL [   0.078s] gix-discover::discover upwards::ceiling_dirs::ceiling_dir_limits_are_respected_and_prevent_discovery
        FAIL [   0.075s] gix-discover::discover upwards::ceiling_dirs::ceiling_dirs_are_not_processed_differently_than_the_git_dir_candidate
        FAIL [   0.002s] gix-discover::discover upwards::ceiling_dirs::ceilings_are_adjusted_to_match_search_dir
        FAIL [   0.077s] gix-discover::discover upwards::ceiling_dirs::discovery_fails_if_we_require_a_matching_ceiling_dir_but_are_standing_on_it
        FAIL [   0.079s] gix-discover::discover upwards::ceiling_dirs::git_dir_candidate_within_ceiling_allows_discovery
        FAIL [   0.083s] gix-discover::discover upwards::ceiling_dirs::more_restrictive_ceiling_dirs_overrule_less_restrictive_ones
        FAIL [   0.092s] gix-discover::discover upwards::ceiling_dirs::no_matching_ceiling_dir_error_can_be_suppressed
        FAIL [   0.130s] gix-discover::discover upwards::ceiling_dirs::no_matching_ceiling_dirs_errors_by_default
        FAIL [   0.129s] gix-discover::discover upwards::do_not_shorten_absolute_paths
        FAIL [   0.107s] gix-discover::discover upwards::dot_git_only::bare_repos_are_ignored
        FAIL [   0.088s] gix-discover::discover upwards::dot_git_only::succeeds_from_within_dot_git_dir
        FAIL [   0.088s] gix-discover::discover upwards::dot_git_only::succeeds_in_worktree_dir
        FAIL [   0.004s] gix-discover::discover upwards::from_bare_git_dir
        FAIL [   0.004s] gix-discover::discover upwards::from_bare_git_dir_without_config_file
        FAIL [   0.005s] gix-discover::discover upwards::from_bare_with_index
        FAIL [   0.108s] gix-discover::discover upwards::from_dir_with_dot_dot
        FAIL [   0.003s] gix-discover::discover upwards::from_existing_worktree
        FAIL [   0.108s] gix-discover::discover upwards::from_existing_worktree_inside_dot_git
        FAIL [   0.006s] gix-discover::discover upwards::from_git_dir
        FAIL [   0.006s] gix-discover::discover upwards::from_inside_bare_git_dir
        FAIL [   0.006s] gix-discover::discover upwards::from_nested_dir
        FAIL [   0.006s] gix-discover::discover upwards::from_nested_dir_inside_a_git_dir
        FAIL [   0.004s] gix-discover::discover upwards::from_non_bare_without_index
        FAIL [   0.091s] gix-discover::discover upwards::from_non_existing_worktree
        FAIL [   0.091s] gix-discover::discover upwards::from_non_existing_worktree_inside_dot_git
        FAIL [   0.088s] gix-discover::discover upwards::from_working_dir
        FAIL [   0.004s] gix-discover::discover upwards::from_working_dir_no_config
        FAIL [   0.228s] gix-discover::discover upwards::submodules::by_their_module_git_dir
        FAIL [   0.008s] gix-discover::isolated in_cwd_upwards_bare_repo_without_index
        FAIL [   0.007s] gix-discover::isolated in_cwd_upwards_nonbare_repo_without_index
        FAIL [   0.270s] gix-discover::isolated unc_paths_are_handled_on_windows
        FAIL [   0.004s] gix-discover::isolated upwards_bare_repo_with_index
        FAIL [   0.005s] gix-discover::isolated upwards_with_relative_directories_and_optional_ceiling
        FAIL [   0.215s] gix-filter::filter driver::baseline::our_implementation_used_by_git
        FAIL [   0.104s] gix-filter::filter pipeline::convert_to_git::all_stages_mean_streaming_is_impossible
        FAIL [   0.239s] gix-fsck::fsck connectivity::missing_blobs
        FAIL [   0.414s] gix-fsck::fsck connectivity::missing_trees
        FAIL [   0.383s] gix-fsck::fsck connectivity::no_missing
        FAIL [   0.641s] gix-glob::glob pattern::matching::compare_baseline_with_ours
        FAIL [   0.216s] gix-ignore::ignore search::baseline_from_git_dir
        FAIL [   0.433s] gix-index-tests::integrate index::access::entry_by_path
        FAIL [   0.433s] gix-index-tests::integrate index::access::entry_by_path_and_stage
        FAIL [   0.210s] gix-index-tests::integrate index::file::init::from_state::writes_data_to_disk_and_is_a_valid_index
        FAIL [   0.230s] gix-index-tests::integrate index::file::read::sparse_checkout_cone_mode
        FAIL [   0.202s] gix-index-tests::integrate index::file::read::sparse_checkout_cone_mode_no_dirs
        FAIL [   0.186s] gix-index-tests::integrate index::file::read::sparse_checkout_non_cone_mode
        FAIL [   0.204s] gix-index-tests::integrate index::file::read::sparse_checkout_non_sparse_index
        FAIL [   0.261s] gix-index-tests::integrate index::file::read::split_index_and_regular_index_of_same_content_are_indeed_the_same
        FAIL [   0.195s] gix-index-tests::integrate index::file::read::split_index_without_any_extension
        FAIL [   0.196s] gix-index-tests::integrate index::file::read::v2_empty
        FAIL [   0.191s] gix-index-tests::integrate index::file::read::v2_split_index_recursion_is_handled_gracefully
        FAIL [   0.193s] gix-index-tests::integrate index::file::read::v2_with_multiple_entries_without_eoie_ext
        FAIL [   0.178s] gix-index-tests::integrate index::file::read::v3_added_files
        FAIL [   0.421s] gix-index-tests::integrate index::file::write::state_comparisons_with_various_extension_configurations
        FAIL [   0.189s] gix-index-tests::integrate index::fs::metadata::from_path_no_follow
        FAIL [   0.297s] gix-index-tests::integrate index::init::from_tree_validation
        FAIL [   0.986s] gix-merge::merge blob::builtin_driver::text::run_baseline
        FAIL [   0.366s] gix-merge::merge blob::platform::merge::builtin_text_uses_binary_if_needed
        FAIL [   4.814s] gix-negotiate::negotiate baseline::run
        FAIL [   0.526s] gix-object::object tree::editor::from_existing_add
        FAIL [   0.573s] gix-odb-tests::integrate odb::memory::with_memory
        FAIL [   0.378s] gix-odb-tests::integrate odb::memory::without_memory
        FAIL [   0.264s] gix-odb-tests::integrate odb::store::dynamic::alternate_dbs_query
        FAIL [   2.694s] gix-odb-tests::integrate odb::store::dynamic::multi_index_access
        FAIL [   0.222s] gix-odb-tests::integrate odb::store::dynamic::object_replacement
        FAIL [   0.006s] gix-odb-tests::integrate odb::store::loose::write::it_writes_objects_with_similar_permissions
        FAIL [   2.551s] gix-pack-tests::pack pack::data::output::count_and_entries::traversals
        FAIL [   2.448s] gix-pack-tests::pack pack::multi_index::access::general
        FAIL [   0.123s] gix-path env::git::tests::exe_info::never_from_git_config_env_var
        FAIL [   0.560s] gix-pathspec::pathspec parse::baseline
        FAIL [   6.906s] gix-pathspec::pathspec search::directories
        FAIL [   0.330s] gix-pathspec::pathspec search::files
        FAIL [   1.703s] gix-ref-tests::refs file::log::iter::forward::all_success
        FAIL [   1.677s] gix-ref-tests::refs file::reference::peel::one_level
        FAIL [   1.637s] gix-ref-tests::refs file::reference::peel::peel_one_level_with_pack
        FAIL [   0.352s] gix-ref-tests::refs file::reference::peel::to_id_long_jump
        FAIL [   0.381s] gix-ref-tests::refs file::store::find::existing::with_packed_refs
        FAIL [   0.264s] gix-ref-tests::refs file::store::iter::with_namespace::iteration_can_trivially_use_namespaces_as_prefixes
        FAIL [   0.188s] gix-ref-tests::refs file::worktree::read_only::linked
        FAIL [   0.432s] gix-ref-tests::refs file::worktree::read_only::main
        FAIL [   0.920s] gix-ref-tests::refs file::worktree::writable::linked
        FAIL [   0.333s] gix-ref-tests::refs file::worktree::writable::main
        FAIL [  38.504s] gix-ref-tests::refs packed::find::find_speed
        FAIL [   0.384s] gix-ref-tests::refs packed::find::partial_name_to_full_name_conversion_rules_are_applied
        FAIL [   0.400s] gix-refspec::refspec match_group::multiple::fetch_and_update_and_negations
