        FAIL [   0.043s] gix-discover::discover is_git::missing_configuration_file_is_not_a_dealbreaker_in_bare_repo
        FAIL [   0.025s] gix-discover::discover is_git::missing_configuration_file_is_not_a_dealbreaker_in_nonbare_repo
        FAIL [   0.026s] gix-discover::discover is_git::no_bare_repo_without_index_file_looks_like_worktree
        FAIL [   0.013s] gix-discover::discover is_git::non_bare_repo_without_workdir
        FAIL [   0.020s] gix-discover::discover is_git::non_bare_repo_without_workdir_with_index
        FAIL [   0.010s] gix-discover::discover is_git::split_worktree_using_configuration
        FAIL [   0.065s] gix-discover::discover upwards::ceiling_dirs::ceiling_dir_is_ignored_if_we_are_standing_on_the_ceiling_and_no_match_is_required
        FAIL [   0.070s] gix-discover::discover upwards::ceiling_dirs::ceiling_dir_limits_are_respected_and_prevent_discovery
        FAIL [   0.068s] gix-discover::discover upwards::ceiling_dirs::ceiling_dirs_are_not_processed_differently_than_the_git_dir_candidate
        FAIL [   0.011s] gix-discover::discover upwards::ceiling_dirs::ceilings_are_adjusted_to_match_search_dir
        FAIL [   0.073s] gix-discover::discover upwards::ceiling_dirs::discovery_fails_if_we_require_a_matching_ceiling_dir_but_are_standing_on_it
        FAIL [   0.069s] gix-discover::discover upwards::ceiling_dirs::git_dir_candidate_within_ceiling_allows_discovery
        FAIL [   0.068s] gix-discover::discover upwards::ceiling_dirs::more_restrictive_ceiling_dirs_overrule_less_restrictive_ones
        FAIL [   0.061s] gix-discover::discover upwards::ceiling_dirs::no_matching_ceiling_dir_error_can_be_suppressed
        FAIL [   0.042s] gix-discover::discover upwards::ceiling_dirs::no_matching_ceiling_dirs_errors_by_default
        FAIL [   2.149s] gix-discover::discover upwards::cross_fs
        FAIL [   0.059s] gix-discover::discover upwards::do_not_shorten_absolute_paths
        FAIL [   0.061s] gix-discover::discover upwards::dot_git_only::bare_repos_are_ignored
        FAIL [   0.059s] gix-discover::discover upwards::dot_git_only::succeeds_from_within_dot_git_dir
        FAIL [   0.057s] gix-discover::discover upwards::dot_git_only::succeeds_in_worktree_dir
        FAIL [   0.014s] gix-discover::discover upwards::from_bare_git_dir
        FAIL [   0.014s] gix-discover::discover upwards::from_bare_git_dir_without_config_file
        FAIL [   0.010s] gix-discover::discover upwards::from_bare_with_index
        FAIL [   0.041s] gix-discover::discover upwards::from_dir_with_dot_dot
        FAIL [   0.008s] gix-discover::discover upwards::from_existing_worktree
        FAIL [   0.037s] gix-discover::discover upwards::from_existing_worktree_inside_dot_git
        FAIL [   0.009s] gix-discover::discover upwards::from_git_dir
        FAIL [   0.008s] gix-discover::discover upwards::from_inside_bare_git_dir
        FAIL [   0.010s] gix-discover::discover upwards::from_nested_dir
        FAIL [   0.006s] gix-discover::discover upwards::from_nested_dir_inside_a_git_dir
        FAIL [   0.009s] gix-discover::discover upwards::from_non_bare_without_index
        FAIL [   0.050s] gix-discover::discover upwards::from_non_existing_worktree
        FAIL [   0.044s] gix-discover::discover upwards::from_non_existing_worktree_inside_dot_git
        FAIL [   0.048s] gix-discover::discover upwards::from_working_dir
        FAIL [   0.010s] gix-discover::discover upwards::from_working_dir_no_config
        FAIL [   0.008s] gix-discover::isolated in_cwd_upwards_bare_repo_without_index
        FAIL [   0.006s] gix-discover::isolated in_cwd_upwards_nonbare_repo_without_index
        FAIL [   0.030s] gix-discover::isolated unc_paths_are_handled_on_windows
        FAIL [   0.007s] gix-discover::isolated upwards_bare_repo_with_index
        FAIL [   0.007s] gix-discover::isolated upwards_with_relative_directories_and_optional_ceiling
        FAIL [   0.060s] gix-filter::filter driver::baseline::our_implementation_used_by_git
        FAIL [   0.044s] gix-fsck::fsck connectivity::missing_blobs
        FAIL [   0.092s] gix-fsck::fsck connectivity::missing_trees
        FAIL [   0.029s] gix-fsck::fsck connectivity::no_missing
        FAIL [   0.040s] gix-ignore::ignore search::baseline_from_git_dir
        FAIL [   0.057s] gix-index-tests::integrate index::fs::metadata::from_path_no_follow
        FAIL [   0.069s] gix-odb-tests::integrate odb::memory::with_memory
        FAIL [   0.081s] gix-odb-tests::integrate odb::memory::without_memory
        FAIL [   0.056s] gix-odb-tests::integrate odb::store::dynamic::alternate_dbs_query
        FAIL [   0.008s] gix-odb-tests::integrate odb::store::loose::write::it_writes_objects_with_similar_permissions
        FAIL [   0.059s] gix-ref-tests::refs file::reference::peel::to_id_long_jump
        FAIL [   0.166s] gix-ref-tests::refs file::worktree::read_only::linked
        FAIL [   0.045s] gix-ref-tests::refs file::worktree::read_only::main
        FAIL [   0.072s] gix-ref-tests::refs file::worktree::writable::linked
        FAIL [   0.115s] gix-ref-tests::refs file::worktree::writable::main
        FAIL [   0.120s] gix-refspec::refspec match_group::multiple::fetch_and_update_and_negations
        FAIL [   0.057s] gix-refspec::refspec match_group::multiple::fetch_and_update_head_to_head_never_updates_actual_head_ref
        FAIL [   0.106s] gix-refspec::refspec match_group::multiple::fetch_and_update_head_with_empty_rhs
        FAIL [   0.040s] gix-refspec::refspec match_group::multiple::fetch_and_update_multiple_destinations
        FAIL [   0.042s] gix-refspec::refspec match_group::multiple::fetch_and_update_with_conflicts
        FAIL [   0.054s] gix-refspec::refspec match_group::multiple::fetch_and_update_with_empty_lhs
        FAIL [   0.046s] gix-refspec::refspec match_group::multiple::fetch_and_update_with_fixes
        FAIL [   0.036s] gix-refspec::refspec match_group::multiple::fetch_only
        FAIL [   0.048s] gix-refspec::refspec match_group::single::fetch_and_update
        FAIL [   0.047s] gix-refspec::refspec match_group::single::fetch_only
        FAIL [   0.081s] gix-status-tests::worktree stack::intermediate_directories_have_to_exist_or_not_found_error
        FAIL [   0.097s] gix-status-tests::worktree stack::leaf_file_does_not_have_to_exist
        FAIL [   0.116s] gix-status-tests::worktree stack::paths_leading_through_symlinks_are_rejected
        FAIL [   0.071s] gix-status-tests::worktree stack::paths_not_going_through_symlink_directories_are_ok_and_point_to_correct_item
        FAIL [   0.052s] gix-status-tests::worktree status::index_as_worktree::modified
        FAIL [   0.073s] gix-status-tests::worktree status::index_as_worktree::refresh
        FAIL [   0.062s] gix-status-tests::worktree status::index_as_worktree::unchanged
        FAIL [   0.058s] gix-url::baseline run
        FAIL [   0.114s] gix-worktree-state-tests::worktree state::checkout::accidental_writes_through_symlinks_are_prevented_if_overwriting_is_forbidden
        FAIL [   0.114s] gix-worktree-state-tests::worktree state::checkout::allow_or_disallow_symlinks
        FAIL [   0.118s] gix-worktree-state-tests::worktree state::checkout::collisions_are_detected_on_a_case_insensitive_filesystem_even_with_delayed_filters
        FAIL [   0.110s] gix-worktree-state-tests::worktree state::checkout::dangling_symlinks_can_be_created
        FAIL [   0.107s] gix-worktree-state-tests::worktree state::checkout::delayed_driver_process
        FAIL [   0.106s] gix-worktree-state-tests::worktree state::checkout::keep_going_collects_results
        FAIL [   0.083s] gix-worktree-state-tests::worktree state::checkout::no_case_related_collisions_on_case_sensitive_filesystem
        FAIL [   0.098s] gix-worktree-state-tests::worktree state::checkout::overwriting_files_and_lone_directories_works
        FAIL [   0.089s] gix-worktree-state-tests::worktree state::checkout::safety_checks_dotdot_trees
